finding_id,customer_id,control_id,severity,assessment_status,finding_status,actual,expected,evidence_fields
F-0021,CUST100087,ARABIC_NAME_001,MEDIUM,FAIL,REVIEW,Arabic customer name is missing or contains no Arabic-script characters,Customer record must contain an Arabic-script customer name.,"customer_id, name_ar"
F-0022,CUST100089,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0023,CUST100090,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0024,CUST100091,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0025,CUST100092,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0026,CUST100100,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0027,CUST100102,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0028,CUST100108,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0029,CUST100109,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0030,CUST100120,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0031,CUST100129,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0032,CUST100136,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0033,CUST100142,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0034,CUST100145,ARABIC_NAME_001,MEDIUM,FAIL,REVIEW,Arabic customer name is missing or contains no Arabic-script characters,Customer record must contain an Arabic-script customer name.,"customer_id, name_ar"
F-0035,CUST100148,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0036,CUST100156,SCREENING_001,CRITICAL,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0037,CUST100158,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0038,CUST100160,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0039,CUST100170,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0040,CUST100170,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0041,CUST100172,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0042,CUST100173,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0043,CUST100176,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0044,CUST100177,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0045,CUST100180,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0046,CUST100184,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0047,CUST100187,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0048,CUST100198,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0049,CUST100201,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0050,CUST100204,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0051,CUST100208,RISK_001,HIGH,FAIL,REVIEW,High-risk customer has an OPENED wallet without an approved exception,High-risk customers must not be activated for standard wallet use unless an approved exception is recorded.,"customer_id, risk_level, risk_exception_approved, risk_exception_reference, risk_exception_reviewer, wallet_status"
F-0052,CUST100211,ARABIC_NAME_001,MEDIUM,FAIL,REVIEW,Arabic customer name is missing or contains no Arabic-script characters,Customer record must contain an Arabic-script customer name.,"customer_id, name_ar"
F-0053,CUST100222,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0054,CUST100230,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0055,CUST100236,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0056,CUST100242,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0057,CUST100248,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0058,CUST100258,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0059,CUST100260,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0060,CUST100268,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0061,CUST100270,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0062,CUST100270,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0063,CUST100271,SCREENING_001,CRITICAL,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0064,CUST100288,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0065,CUST100295,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0066,CUST100302,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0067,CUST100303,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0068,CUST100316,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0069,CUST100327,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0070,CUST100329,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0071,CUST100330,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0072,CUST100331,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0073,CUST100333,ARABIC_NAME_001,MEDIUM,FAIL,REVIEW,Arabic customer name is missing or contains no Arabic-script characters,Customer record must contain an Arabic-script customer name.,"customer_id, name_ar"
F-0074,CUST100345,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0075,CUST100351,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0076,CUST100356,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0077,CUST100363,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0078,CUST100372,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0079,CUST100377,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0080,CUST100379,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0081,CUST100381,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0082,CUST100382,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0083,CUST100387,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0084,CUST100389,SCREENING_001,CRITICAL,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0085,CUST100392,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0086,CUST100402,ARABIC_NAME_001,MEDIUM,FAIL,REVIEW,Arabic customer name is missing or contains no Arabic-script characters,Customer record must contain an Arabic-script customer name.,"customer_id, name_ar"
F-0087,CUST100403,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0088,CUST100404,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0089,CUST100406,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0090,CUST100419,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0091,CUST100420,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0092,CUST100427,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0093,CUST100428,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0094,CUST100432,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0095,CUST100443,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0096,CUST100451,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0097,CUST100454,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0098,CUST100456,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0099,CUST100463,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0100,CUST100467,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0101,CUST100468,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0102,CUST100469,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0103,CUST100477,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0104,CUST100478,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0105,CUST100478,ARABIC_NAME_001,MEDIUM,FAIL,REVIEW,Arabic customer name is missing or contains no Arabic-script characters,Customer record must contain an Arabic-script customer name.,"customer_id, name_ar"
F-0106,CUST100492,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0107,CUST100492,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0108,CUST100499,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0109,CUST100510,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0110,CUST100511,SCREENING_001,CRITICAL,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0111,CUST100513,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0112,CUST100514,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0113,CUST100521,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0114,CUST100547,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0115,CUST100549,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0116,CUST100550,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0117,CUST100557,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
